NAME,CITY,STATE
RIVER TRAILS EL,FORT WORTH,TX
WILLS POINT J H,WILLS POINT,TX
HARMONY SCHOOL OF INNOVATION - GARLAND,GARLAND,TX
E A JONES EL,MISSOURI CITY,TX
BRUNI H S,BRUNI,TX
O M ROBERTS EL,LAKE JACKSON,TX
EARLY CHILDHOOD CENTER,EAGLE PASS,TX
SHIVE EL,VERNON,TX
BRENHAM MIDDLE,BRENHAM,TX
NATHAN ADAMS EL,DALLAS,TX
GREAT HEARTS MONTE VISTA,SAN ANTONIO,TX
TAFOLLA MIDDLE,SAN ANTONIO,TX
SOCORRO MIDDLE,EL PASO,TX
PETERSON MIDDLE,KERRVILLE,TX
CEDAR VALLEY EL,KILLEEN,TX
MAURINE CAIN MIDDLE,ROCKWALL,TX
TULIA EL,TULIA,TX
SANDS CISD,ACKERLY,TX
WILLIAMSON COUNTY DETENTION CENTER,GEORGETOWN,TX
HODGES BEND MIDDLE,HOUSTON,TX
DELMAS F MORTON EL,GRAND PRAIRIE,TX
EDWIN F WILLIAMS INT,PERRYTON,TX
SOUTHMOST EL,BROWNSVILLE,TX
VEGA H S,VEGA,TX
KIRBY MIDDLE,SAN ANTONIO,TX
WILLS POINT MIDDLE,WILLS POINT,TX
MATHIS EL,MATHIS,TX
ELDORADO EL,ELDORADO,TX
UPLIFT SUMMIT INTERNATIONAL H S,ARLINGTON,TX
PREMIER H S OF PFLUGERVILLE,PFLUGERVILLE,TX
CANYON LAKE H S,FISCHER,TX
MIDLOTHIAN HERITAGE H S,MIDLOTHIAN,TX
BASIS SAN ANTONIO- SHAVANO CAMPUS,SAN ANTONIO,TX
NOBLE REED,CRANDALL,TX
EAST VIEW H S,GEORGETOWN,TX
BRIGHT BEGINNINGS ACADEMIC CENTER,BROWNFIELD,TX
CHARLES MIDDLE,EL PASO,TX
MCCULLOUGH J H,THE WOODLANDS,TX
CHARLES A FORBES MIDDLE,GEORGETOWN,TX
HIDALGO CO J J A E P,MERCEDES,TX
IRENE CLINKSCALE EL,BURLESON,TX
MOULTON EL,MOULTON,TX
CORNERSTONE EL,SUGAR LAND,TX
RIDGEMONT EL,HOUSTON,TX
BUCKHOLTS SCHOOL,BUCKHOLTS,TX
CIMARRON EL,KATY,TX
WINONA EL,WINONA,TX
NORTHSIDE EL,WAXAHACHIE,TX
JEFFERSON ELEM,EDINBURG,TX
THE PRO-VISION ACADEMY,HOUSTON,TX
DUBLIN INT,DUBLIN,TX
YSLETA EL,EL PASO,TX
ROOSEVELT EL,HOUSTON,TX
IDEA NORTH MISSION ACADEMY,MISSION,TX
RICE SCH /LA ESCUELA RICE,HOUSTON,TX
VENABLE VILLAGE EL,FORT HOOD,TX
LUBBOCK CO YOUTH CTR,LUBBOCK,TX
COMFORT EL,COMFORT,TX
TIMPSON SCHOOL,TIMPSON,TX
BEAVER TECHNOLOGY CENTER,GARLAND,TX
KIPP AUSTIN COMUNIDAD,AUSTIN,TX
H GRADY SPRUCE H S,DALLAS,TX
FAIRVIEW SPECIAL PROGRAMS,ROWENA,TX
MICHAEL EL,SAN ANTONIO,TX
CEDAR PARK H S,CEDAR PARK,TX
ORTIZ EL,BROWNSVILLE,TX
GRAPEVINE H S,GRAPEVINE,TX
WUNDERLICH INT,HOUSTON,TX
VINEYARD RANCH EL,SAN ANTONIO,TX
FREDERICKSBURG H S,FREDERICKSBURG,TX
CENTER POINT EL,CENTER POINT,TX
WHITTIER EL,AMARILLO,TX
FRAZIER EL,BURLESON,TX
SER-NINOS CHARTER EL,HOUSTON,TX
PASODALE EL,EL PASO,TX
BENDWOOD SCHOOL,HOUSTON,TX
VELMA PENNY EL,LINDALE,TX
HAMSHIRE-FANNETT MIDDLE,BEAUMONT,TX
